,Instrument,Insider Full Name,Insider Role Type,Insider Shares Traded (Adjusted),Insider Transaction Type,Insider Transaction Type(Short),Insider Transaction Price,Insider Shares Traded (As Reported),Insider Transaction Date
171,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-4000,Open market or private sale of non-derivative or derivative security,Open Market Sale,3332.99,-4000,2021-11-03
172,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-4840,Open market or private sale of non-derivative or derivative security,Open Market Sale,3331.95,-4840,2021-11-03
173,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-4968,Open market or private sale of non-derivative or derivative security,Open Market Sale,3331.07,-4968,2021-11-03
174,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-6537,Open market or private sale of non-derivative or derivative security,Open Market Sale,3330.01,-6537,2021-11-03
175,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-4481,Open market or private sale of non-derivative or derivative security,Open Market Sale,3328.88,-4481,2021-11-03
176,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-2387,Open market or private sale of non-derivative or derivative security,Open Market Sale,3328.04,-2387,2021-11-03
177,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-3724,Open market or private sale of non-derivative or derivative security,Open Market Sale,3326.81,-3724,2021-11-03
178,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-3275,Open market or private sale of non-derivative or derivative security,Open Market Sale,3325.98,-3275,2021-11-03
179,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-2004,Open market or private sale of non-derivative or derivative security,Open Market Sale,3324.64,-2004,2021-11-03
180,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-2841,Open market or private sale of non-derivative or derivative security,Open Market Sale,3323.54,-2841,2021-11-03
181,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-2202,Open market or private sale of non-derivative or derivative security,Open Market Sale,3322.54,-2202,2021-11-03
182,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-1447,Open market or private sale of non-derivative or derivative security,Open Market Sale,3321.51,-1447,2021-11-03
183,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-8159,Open market or private sale of non-derivative or derivative security,Open Market Sale,3320.33,-8159,2021-11-03
184,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-5595,Open market or private sale of non-derivative or derivative security,Open Market Sale,3319.69,-5595,2021-11-03
185,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-8361,Open market or private sale of non-derivative or derivative security,Open Market Sale,3318.5,-8361,2021-11-03
186,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-15720,Open market or private sale of non-derivative or derivative security,Open Market Sale,3317.5,-15720,2021-11-03
187,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-16547,Open market or private sale of non-derivative or derivative security,Open Market Sale,3316.65,-16547,2021-11-03
188,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-8656,Open market or private sale of non-derivative or derivative security,Open Market Sale,3315.56,-8656,2021-11-03
189,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-18241,Open market or private sale of non-derivative or derivative security,Open Market Sale,3314.62,-18241,2021-11-03
190,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-8688,Open market or private sale of non-derivative or derivative security,Open Market Sale,3313.63,-8688,2021-11-03
191,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-12049,Open market or private sale of non-derivative or derivative security,Open Market Sale,3312.54,-12049,2021-11-03
192,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-3770,Open market or private sale of non-derivative or derivative security,Open Market Sale,3311.44,-3770,2021-11-03
193,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-7100,Open market or private sale of non-derivative or derivative security,Open Market Sale,3310.46,-7100,2021-11-03
194,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-5500,Open market or private sale of non-derivative or derivative security,Open Market Sale,3309.06,-5500,2021-11-03
195,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-2996,Open market or private sale of non-derivative or derivative security,Open Market Sale,3308.08,-2996,2021-11-03
196,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-400,Open market or private sale of non-derivative or derivative security,Open Market Sale,3306.05,-400,2021-11-03
197,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-2100,Open market or private sale of non-derivative or derivative security,Open Market Sale,3304.59,-2100,2021-11-03
198,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-1208,Open market or private sale of non-derivative or derivative security,Open Market Sale,3303.5,-1208,2021-11-03
199,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-700,Open market or private sale of non-derivative or derivative security,Open Market Sale,3302.05,-700,2021-11-03
200,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-2000,Open market or private sale of non-derivative or derivative security,Open Market Sale,3300.59,-2000,2021-11-03
201,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-5644,Open market or private sale of non-derivative or derivative security,Open Market Sale,3299.51,-5644,2021-11-03
202,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-100,Open market or private sale of non-derivative or derivative security,Open Market Sale,3394.08,-100,2021-11-03
203,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-3217,Open market or private sale of non-derivative or derivative security,Open Market Sale,3392.8,-3217,2021-11-03
204,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-2152,Open market or private sale of non-derivative or derivative security,Open Market Sale,3391.48,-2152,2021-11-03
205,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-4780,Open market or private sale of non-derivative or derivative security,Open Market Sale,3389.94,-4780,2021-11-03
206,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-1534,Open market or private sale of non-derivative or derivative security,Open Market Sale,3388.78,-1534,2021-11-03
207,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-3923,Open market or private sale of non-derivative or derivative security,Open Market Sale,3387.95,-3923,2021-11-03
208,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-2685,Open market or private sale of non-derivative or derivative security,Open Market Sale,3386.91,-2685,2021-11-03
209,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-3358,Open market or private sale of non-derivative or derivative security,Open Market Sale,3385.87,-3358,2021-11-03
210,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-8998,Open market or private sale of non-derivative or derivative security,Open Market Sale,3384.69,-8998,2021-11-03
211,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-8464,Open market or private sale of non-derivative or derivative security,Open Market Sale,3383.63,-8464,2021-11-03
212,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-3495,Open market or private sale of non-derivative or derivative security,Open Market Sale,3382.86,-3495,2021-11-03
213,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-3855,Open market or private sale of non-derivative or derivative security,Open Market Sale,3381.57,-3855,2021-11-03
214,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-300,Open market or private sale of non-derivative or derivative security,Open Market Sale,3380.56,-300,2021-11-03
215,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-500,Open market or private sale of non-derivative or derivative security,Open Market Sale,3379.87,-500,2021-11-03
216,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-399,Open market or private sale of non-derivative or derivative security,Open Market Sale,3378.13,-399,2021-11-03
217,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-1600,Open market or private sale of non-derivative or derivative security,Open Market Sale,3377.32,-1600,2021-11-03
218,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-706,Open market or private sale of non-derivative or derivative security,Open Market Sale,3376.21,-706,2021-11-03
219,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-1704,Open market or private sale of non-derivative or derivative security,Open Market Sale,3375.12,-1704,2021-11-03
220,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-4300,Open market or private sale of non-derivative or derivative security,Open Market Sale,3373.95,-4300,2021-11-03
221,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-3306,Open market or private sale of non-derivative or derivative security,Open Market Sale,3373.08,-3306,2021-11-03
222,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-2200,Open market or private sale of non-derivative or derivative security,Open Market Sale,3371.9,-2200,2021-11-03
223,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-2200,Open market or private sale of non-derivative or derivative security,Open Market Sale,3370.96,-2200,2021-11-03
224,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-479,Open market or private sale of non-derivative or derivative security,Open Market Sale,3369.45,-479,2021-11-03
225,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-400,Open market or private sale of non-derivative or derivative security,Open Market Sale,3368.47,-400,2021-11-03
226,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-889,Open market or private sale of non-derivative or derivative security,Open Market Sale,3329.14,-889,2021-11-02
227,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-700,Open market or private sale of non-derivative or derivative security,Open Market Sale,3328.36,-700,2021-11-02
228,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-800,Open market or private sale of non-derivative or derivative security,Open Market Sale,3326.84,-800,2021-11-02
229,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-2469,Open market or private sale of non-derivative or derivative security,Open Market Sale,3326.25,-2469,2021-11-02
230,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-3039,Open market or private sale of non-derivative or derivative security,Open Market Sale,3325.23,-3039,2021-11-02
231,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-2000,Open market or private sale of non-derivative or derivative security,Open Market Sale,3323.67,-2000,2021-11-02
232,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-1955,Open market or private sale of non-derivative or derivative security,Open Market Sale,3323.08,-1955,2021-11-02
233,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-3423,Open market or private sale of non-derivative or derivative security,Open Market Sale,3321.88,-3423,2021-11-02
234,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-8115,Open market or private sale of non-derivative or derivative security,Open Market Sale,3320.78,-8115,2021-11-02
235,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-4100,Open market or private sale of non-derivative or derivative security,Open Market Sale,3319.62,-4100,2021-11-02
236,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-3000,Open market or private sale of non-derivative or derivative security,Open Market Sale,3318.73,-3000,2021-11-02
237,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-2687,Open market or private sale of non-derivative or derivative security,Open Market Sale,3317.51,-2687,2021-11-02
238,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-1061,Open market or private sale of non-derivative or derivative security,Open Market Sale,3316.75,-1061,2021-11-02
239,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-1486,Open market or private sale of non-derivative or derivative security,Open Market Sale,3315.1,-1486,2021-11-02
240,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-9429,Open market or private sale of non-derivative or derivative security,Open Market Sale,3314.76,-9429,2021-11-02
241,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-4881,Open market or private sale of non-derivative or derivative security,Open Market Sale,3313.38,-4881,2021-11-02
242,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-4370,Open market or private sale of non-derivative or derivative security,Open Market Sale,3312.76,-4370,2021-11-02
243,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-4738,Open market or private sale of non-derivative or derivative security,Open Market Sale,3311.43,-4738,2021-11-02
244,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-9427,Open market or private sale of non-derivative or derivative security,Open Market Sale,3310.39,-9427,2021-11-02
245,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-13098,Open market or private sale of non-derivative or derivative security,Open Market Sale,3309.35,-13098,2021-11-02
246,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-9252,Open market or private sale of non-derivative or derivative security,Open Market Sale,3308.44,-9252,2021-11-02
247,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-10855,Open market or private sale of non-derivative or derivative security,Open Market Sale,3307.67,-10855,2021-11-02
248,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-12010,Open market or private sale of non-derivative or derivative security,Open Market Sale,3306.5,-12010,2021-11-02
249,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-7980,Open market or private sale of non-derivative or derivative security,Open Market Sale,3305.44,-7980,2021-11-02
250,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-15311,Open market or private sale of non-derivative or derivative security,Open Market Sale,3304.43,-15311,2021-11-02
251,AMZN.O,Bezos (Jeffrey P),"Officer, Director and Beneficial Owner",-10009,Open market or private sale of non-derivative or derivative security,Open Market Sale,3303.46,-10009,2021-11-02
